x,y
69.550000,106.335000
82.490000,120.569000
73.410000,110.581000
67.360000,103.926000
67.460000,104.036000
79.210000,116.961000
83.960000,122.186000
84.940000,123.264000
65.650000,102.045000
40.330000,74.193000
73.060000,110.196000
4.310000,34.571000
20.470000,52.347000
82.450000,120.525000
25.750000,58.155000
4.100000,34.340000
47.480000,82.058000
88.590000,127.279000
10.940000,41.864000
60.230000,96.083000
78.020000,115.652000
10.700000,41.600000
62.390000,98.459000
15.540000,46.924000
77.260000,114.816000
81.070000,119.007000
88.010000,126.641000
52.380000,87.448000
76.560000,114.046000
29.150000,61.895000
83.070000,121.207000
22.690000,54.789000
90.060000,128.896000
96.500000,135.980000
90.830000,129.743000
41.730000,75.733000
41.660000,75.656000
95.620000,135.012000
9.360000,40.126000
12.640000,43.734000
70.620000,107.512000
42.030000,76.063000
63.210000,99.361000
81.330000,119.293000
53.870000,89.087000
86.910000,125.431000
63.460000,99.636000
39.560000,73.346000
69.240000,105.994000
63.990000,100.219000
12.370000,43.437000
6.490000,36.969000
1.560000,31.546000
38.030000,71.663000
70.800000,107.710000
38.180000,71.828000
99.600000,139.390000
62.160000,98.206000
47.680000,82.278000
3.250000,33.405000
99.310000,139.071000
61.730000,97.733000
3.250000,33.405000
32.760000,65.866000
48.670000,83.367000
84.780000,123.088000
38.650000,72.345000
0.800000,30.710000
93.240000,132.394000
39.340000,73.104000
53.390000,88.559000
48.600000,83.290000
37.360000,70.926000
91.340000,130.304000
32.720000,65.822000
6.450000,36.925000
56.690000,92.189000
58.850000,94.565000
41.730000,75.733000
23.690000,55.889000
40.310000,74.171000
91.610000,130.601000
43.490000,77.669000
7.960000,38.586000
76.140000,113.584000
38.750000,72.455000
85.960000,124.386000
94.020000,133.252000
35.410000,68.781000
8.600000,39.290000
13.810000,45.021000
43.900000,78.120000
67.090000,103.629000
0.840000,30.754000
18.590000,50.279000
75.560000,112.946000
79.300000,117.060000
18.280000,49.938000
33.390000,66.559000
57.920000,93.542000
92.700000,131.800000
35.220000,68.572000
12.370000,43.437000
77.640000,115.234000
51.690000,86.689000
3.080000,33.218000
64.470000,100.747000
73.870000,111.087000
14.470000,45.747000
17.220000,48.772000
36.500000,69.980000
67.310000,103.871000
76.160000,113.606000
42.170000,76.217000
7.560000,38.146000
60.820000,96.732000
11.750000,42.755000
28.780000,61.488000
15.690000,47.089000
82.910000,121.031000
44.430000,78.703000
63.990000,100.219000
62.840000,98.954000
19.760000,51.566000
90.210000,129.061000
33.340000,66.504000
10.470000,41.347000
40.460000,74.336000
34.220000,67.472000
18.710000,50.411000
43.600000,77.790000
24.230000,56.483000
67.470000,104.047000
48.630000,83.323000
72.810000,109.921000
88.910000,127.631000
57.390000,92.959000
66.090000,102.529000
57.750000,93.355000
76.890000,114.409000
55.520000,90.902000
84.880000,123.198000
68.250000,104.905000
66.470000,102.947000
51.310000,86.271000
84.990000,123.319000
50.060000,84.896000
37.800000,71.410000
54.690000,89.989000
16.220000,47.672000
86.370000,124.837000
30.910000,63.831000
63.430000,99.603000
70.200000,107.050000
31.910000,64.931000
90.000000,128.830000
92.350000,131.415000
22.350000,54.415000
28.470000,61.147000
67.340000,103.904000
53.130000,88.273000
30.690000,63.589000
1.520000,31.502000
93.320000,132.482000
61.640000,97.634000
1.920000,31.942000
11.510000,42.491000
74.330000,111.593000
42.030000,76.063000
45.820000,80.232000
29.950000,62.775000
60.770000,96.677000
25.840000,58.254000
74.850000,112.165000
12.180000,43.228000
0.530000,30.413000
43.180000,77.328000
15.060000,46.396000
84.350000,122.615000
16.740000,48.244000
62.330000,98.393000
55.680000,91.078000
80.900000,118.820000
39.440000,73.214000
98.350000,138.015000
15.300000,46.660000
54.090000,89.329000
62.540000,98.624000
6.440000,36.914000
25.470000,57.847000
77.770000,115.377000
87.360000,125.926000
79.770000,117.577000
3.050000,33.185000
77.270000,114.827000
68.790000,105.499000
51.030000,85.963000
65.780000,102.188000
19.920000,51.742000
29.770000,62.577000
68.350000,105.015000
29.130000,61.873000
93.170000,132.317000
47.780000,82.388000
94.280000,133.538000
70.780000,107.688000
39.430000,73.203000
5.010000,35.341000
42.210000,76.261000
91.520000,130.502000
57.320000,92.882000
84.060000,122.296000
13.680000,44.878000
32.370000,65.437000
47.580000,82.168000
97.080000,136.618000
87.790000,126.399000
18.340000,50.004000
33.490000,66.669000
28.050000,60.685000
87.530000,126.113000
57.960000,93.586000
58.140000,93.784000
24.360000,56.626000
56.960000,92.486000
33.230000,66.383000
0.740000,30.644000
0.950000,30.875000
37.140000,70.684000
43.830000,78.043000
1.930000,31.953000
17.940000,49.564000
40.860000,74.776000
86.100000,124.540000
28.400000,61.070000
98.460000,138.136000
48.300000,82.960000
41.190000,75.139000
59.230000,94.983000
82.120000,120.162000
15.300000,46.660000
32.190000,65.239000
82.540000,120.624000
67.670000,104.267000
9.270000,40.027000
27.720000,60.322000
16.720000,48.222000
85.970000,124.397000
5.750000,36.155000
92.360000,131.426000
58.910000,94.631000
60.800000,96.710000
84.590000,122.879000
17.220000,48.772000
45.980000,80.408000
45.490000,79.869000
73.970000,111.197000
36.980000,70.508000
48.620000,83.312000
1.150000,31.095000
63.750000,99.955000
47.730000,82.333000
61.400000,97.370000
73.640000,110.834000
38.640000,72.334000
43.200000,77.350000
39.600000,73.390000
54.200000,89.450000
20.170000,52.017000
34.130000,67.373000
12.440000,43.514000
96.390000,135.859000
65.140000,101.484000
23.600000,55.790000
50.370000,85.237000
81.890000,119.909000
63.990000,100.219000
93.040000,132.174000
4.180000,34.428000
83.210000,121.361000
32.420000,65.492000
90.610000,129.501000
53.550000,88.735000
40.280000,74.138000
28.770000,61.477000
16.420000,47.892000
51.550000,86.535000
49.230000,83.983000
31.780000,64.788000
41.900000,75.920000
16.660000,48.156000
3.440000,33.614000
78.300000,115.960000
72.420000,109.492000
46.700000,81.200000
29.380000,62.148000
78.110000,115.751000
37.840000,71.454000
12.320000,43.382000
9.500000,40.280000
23.070000,55.207000
45.440000,79.814000
95.640000,135.034000
48.340000,83.004000
47.010000,81.541000
80.600000,118.490000
15.090000,46.429000
42.920000,77.042000
57.380000,92.948000
60.860000,96.776000
62.460000,98.536000
54.700000,90.000000
36.360000,69.826000
8.090000,38.729000
5.850000,36.265000
38.300000,71.960000
70.190000,107.039000
78.030000,115.663000
66.030000,102.463000
32.060000,65.096000
81.600000,119.590000
70.120000,106.962000
56.400000,91.870000
43.800000,78.010000
89.870000,128.687000
80.440000,118.314000
58.820000,94.532000
89.250000,128.005000
58.690000,94.389000
21.670000,53.667000
2.590000,32.679000
6.130000,36.573000
16.230000,47.683000
86.060000,124.496000
75.780000,113.188000
81.400000,119.370000
55.990000,91.419000
28.380000,61.048000
86.880000,125.398000
46.210000,80.661000
74.010000,111.241000
12.220000,43.272000
37.350000,70.915000
6.420000,36.892000
8.610000,39.301000
37.360000,70.926000
87.110000,125.651000
19.210000,50.961000
25.200000,57.550000
79.610000,117.401000
54.410000,89.681000
61.820000,97.832000
85.610000,124.001000
24.930000,57.253000
35.390000,68.759000
33.490000,66.669000
49.690000,84.489000
44.250000,78.505000
85.060000,123.396000
93.270000,132.427000
72.000000,109.030000
13.170000,44.317000
2.160000,32.206000
68.020000,104.652000
96.980000,136.508000
37.550000,71.135000
70.570000,107.457000
54.500000,89.780000
31.090000,64.029000
12.460000,43.536000
25.060000,57.396000
94.870000,134.187000
58.930000,94.653000
90.650000,129.545000
55.730000,91.133000
45.770000,80.177000
49.160000,83.906000
51.800000,86.810000
32.370000,65.437000
64.350000,100.615000
48.240000,82.894000
26.810000,59.321000
4.390000,34.659000
37.260000,70.816000
37.430000,71.003000
70.680000,107.578000
50.110000,84.951000
77.870000,115.487000
80.960000,118.886000
40.050000,73.885000
50.040000,84.874000
83.840000,122.054000
66.920000,103.442000
7.660000,38.256000
43.740000,77.944000
40.040000,73.874000
59.300000,95.060000
85.310000,123.671000
17.800000,49.410000
12.680000,43.778000
48.150000,82.795000
38.260000,71.916000
28.330000,60.993000
76.830000,114.343000
66.300000,102.760000
97.260000,136.816000
62.330000,98.393000
87.490000,126.069000
61.480000,97.458000
29.030000,61.763000
77.050000,114.585000
9.780000,40.588000
27.440000,60.014000
62.730000,98.833000
16.710000,48.211000
14.930000,46.253000
0.680000,30.578000
65.770000,102.177000
19.510000,51.291000
65.470000,101.847000
58.190000,93.839000
75.130000,112.473000
27.190000,59.739000
35.550000,68.935000
35.040000,68.374000
11.600000,42.590000
47.920000,82.542000
0.180000,30.028000
99.950000,139.775000
26.020000,58.452000
62.280000,98.338000
97.840000,137.454000
34.560000,67.846000
9.090000,39.829000
3.290000,33.449000
0.840000,30.754000
92.580000,131.668000
24.720000,57.022000
81.060000,118.996000
76.800000,114.310000
48.770000,83.477000
